Date,Open,High,Low,Close,Adj Close,Volume,5MA,20MA,60MA,120MA,240MA,Change,Change(%),Daily limit,KBond,KBond(%),KB_Color,KBond_Length,KBond_UpLine,KBond_DownLine,KBond_UpLine(%),KBond_DownLine(%),KBond_Body(%),5VMA,20VMA,60VMA,5High,5Low,5High_Close,5Low_Close,20High,20Low,20High_Close,20Low_Close,60High,60Low,60High_Close,60Low_Close,120High,120Low,120High_Close,120Low_Close,240High,240Low,240High_Close,240Low_Close,His_High,His_Low,5High(Vol),20High(Vol),20Low(Vol),60High(Vol),60Low(Vol),120High(Vol),120Low(Vol),240High(Vol),240Low(Vol),His_High(Vol),His_Low(Vol),5Low(Vol),RSV,KD(K),KD(D),KD(J),RSI6,P_RSI6,M_RSI6,RSI12,P_RSI12,M_RSI12,(MACD)12EMA,(MACD)26EMA,(MACD)DIF,(MACD)DEM,(MACD)OSC,SD,Bollinger(Tp),Bollinger(Btm)
2016-01-04,22.09,22.09,21.16,21.16,15.25,12876593.0,22.05,22.59,26.15,27.13,30.45,-0.93,-4.21,False,-0.93,-4.21,Green,0.93,0.0,0.0,0.0,0.0,100.0,8452720.0,9490647.0,8487472.0,22.73,21.16,22.61,21.16,25.2,21.16,24.56,21.16,30.74,21.16,30.74,21.16,32.85,21.16,32.61,21.16,32.85,21.16,32.61,21.16,48.01,4.35,12876593.0,18831615.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,12876593.0,4363061.0,0.0,24.48,35.83,58.53,23.68,0.08,0.29,23.53,0.08,0.26,22.26,23.19,-0.9299999999999996,-1.01,0.08,0.86,24.31,20.87
2016-01-05,21.16,21.6,21.12,21.36,15.39,6636055.0,21.8,22.43,26.0,27.04,30.4,0.2,0.95,False,0.2,0.95,Red,0.48,0.24,0.04,50.0,8.33,41.67,8580028.0,9524142.0,8435272.0,22.69,21.12,22.37,21.16,24.68,21.12,24.39,21.16,30.74,21.12,30.74,21.16,32.52,21.12,32.2,21.16,32.52,21.12,32.2,21.16,48.01,4.35,12876593.0,18831615.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,6636055.0,4363061.0,14.04,21.0,30.89,50.67,31.43,0.1,0.24,27.27,0.09,0.24,22.12,23.05,-0.9299999999999996,-0.99,0.06,0.76,23.95,20.91
2016-01-06,21.4,21.48,21.04,21.08,15.19,6362900.0,21.54,22.26,25.86,26.95,30.35,-0.28,-1.31,False,-0.32,-1.5,Green,0.44,0.08,0.04,18.18,9.09,72.73,8979996.0,9515490.0,8404063.0,22.61,21.04,22.09,21.08,24.35,21.04,23.91,21.08,30.74,21.04,30.74,21.08,32.52,21.04,32.2,21.08,32.52,21.04,32.2,21.08,48.01,4.35,12876593.0,18831615.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,6362900.0,6362900.0,2.23,14.74,25.51,47.05,26.47,0.08,0.25,25.0,0.08,0.24,21.96,22.9,-0.9399999999999976,-0.98,0.04,0.67,23.6,20.92
2016-01-07,21.28,22.33,21.24,22.13,15.95,25030129.0,21.56,22.17,25.74,26.87,30.3,1.05,4.98,False,0.85,4.03,Red,1.09,0.2,0.04,18.35,3.67,77.98,12431882.0,10366411.0,8766807.0,22.37,21.04,22.13,21.08,23.83,21.04,23.54,21.08,30.74,21.04,30.74,21.08,32.52,21.04,32.04,21.08,32.52,21.04,32.04,21.08,48.01,4.35,25030129.0,25030129.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,25030129.0,6362900.0,60.89,30.12,27.05,20.910000000000004,54.35,0.24,0.21,42.11,0.16,0.22,21.99,22.84,-0.8500000000000014,-0.95,0.1,0.54,23.25,21.090000000000003
2016-01-08,22.05,22.09,21.6,21.84,15.74,14702157.0,21.51,22.09,25.61,26.78,30.25,-0.29,-1.31,False,-0.21,-0.95,Green,0.49,0.04,0.24,8.16,48.98,42.86,13121567.0,10498971.0,8911872.0,22.33,21.04,22.13,21.08,23.71,21.04,22.61,21.08,30.74,21.04,30.74,21.08,32.2,21.04,31.92,21.08,32.2,21.04,31.92,21.08,48.01,4.35,25030129.0,25030129.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,14702157.0,6362900.0,47.06,35.77,29.96,18.33999999999999,48.84,0.2,0.22,39.47,0.15,0.23,21.97,22.77,-0.8000000000000007,-0.92,0.12,0.44,22.97,21.21
2016-01-11,21.44,21.48,20.83,21.04,15.16,14521702.0,21.49,22.01,25.46,26.7,30.2,-0.8,-3.66,False,-0.4,-1.83,Green,0.65,0.04,0.21,6.15,32.31,61.54,13450589.0,10283476.0,9031269.0,22.33,20.83,22.13,21.04,22.82,20.83,22.61,21.04,30.74,20.83,30.74,21.04,31.84,20.83,31.63,21.04,31.84,20.83,31.63,21.04,48.01,4.35,25030129.0,25030129.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,14521702.0,6362900.0,11.23,27.59,29.17,32.330000000000005,36.0,0.17,0.32,33.33,0.14,0.28,21.83,22.64,-0.8100000000000023,-0.9,0.09,0.49,22.99,21.03
2016-01-12,21.2,21.24,21.04,21.12,15.22,6584143.0,21.44,21.97,25.3,26.62,30.14,0.08,0.38,False,-0.08,-0.38,Green,0.2,0.04,0.08,20.0,40.0,40.0,13440206.0,9921638.0,8907690.0,22.33,20.83,22.13,21.04,22.82,20.83,22.61,21.04,30.74,20.83,30.26,21.04,30.74,20.83,30.74,21.04,30.74,20.83,30.74,21.04,48.01,4.35,25030129.0,25030129.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,6584143.0,6362900.0,16.2,23.79,27.38,34.56,38.64,0.16,0.27,35.0,0.14,0.26,21.72,22.53,-0.8100000000000023,-0.88,0.07,0.53,23.03,20.91
2016-01-13,21.2,21.64,21.2,21.64,15.6,7737327.0,21.55,21.94,25.16,26.55,30.09,0.52,2.46,False,0.44,2.08,Red,0.44,0.0,0.0,0.0,0.0,100.0,13715092.0,9761886.0,8824466.0,22.33,20.83,22.13,21.04,22.82,20.83,22.61,21.04,30.66,20.83,30.26,21.04,30.74,20.83,30.74,21.04,30.74,20.83,30.74,21.04,48.01,4.35,25030129.0,25030129.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,7737327.0,6584143.0,52.26,33.28,29.35,21.49000000000001,51.11,0.22,0.22,41.46,0.17,0.24,21.71,22.46,-0.75,-0.85,0.1,0.53,23.0,20.880000000000003
2016-01-14,21.2,21.64,21.04,21.64,15.6,9792786.0,21.46,21.92,25.02,26.49,30.04,0.0,0.0,False,0.44,2.03,Red,0.6,0.0,0.16,0.0,26.67,73.33,10667623.0,9659360.0,8947139.0,22.09,20.83,21.84,21.04,22.82,20.83,22.61,21.04,30.66,20.83,30.26,21.04,30.74,20.83,30.74,21.04,30.74,20.83,30.74,21.04,48.01,4.35,14702157.0,25030129.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,9792786.0,6584143.0,53.64,40.07,32.92,18.620000000000005,51.35,0.18,0.18,42.11,0.16,0.22,21.7,22.4,-0.6999999999999993,-0.82,0.12,0.53,22.98,20.860000000000003
2016-01-15,21.56,21.76,21.16,21.76,15.69,12388375.0,21.44,21.88,24.89,26.44,29.99,0.12,0.55,False,0.2,0.92,Red,0.6,0.0,0.4,0.0,66.67,33.33,10204867.0,9826405.0,9098074.0,21.76,20.83,21.76,21.04,22.82,20.83,22.61,21.04,30.66,20.83,30.26,21.04,30.74,20.83,30.74,21.04,30.74,20.83,30.74,21.04,48.01,4.35,14521702.0,25030129.0,4363061.0,26844569.0,2230970.0,26844569.0,2230970.0,26844569.0,2230970.0,102028504696.0,12388375.0,6584143.0,61.59,47.24,37.69,18.58999999999999,54.55,0.17,0.15,44.44,0.16,0.2,21.71,22.35,-0.6400000000000006,-0.78,0.14,0.51,22.9,20.86
